,metallicity,gas disk (Msun),solid disk (Mearth),life time (yr),luminosity,star mass (solar mass)
30401,0.017760333,0.02811167,205.34857,2149939.6,0.37451314,0.5
30402,0.012465935,0.0046832297,58.164234,871146.43,0.74361127,0.5
30403,0.017839549,0.020552668,132.76437,2803157.3,0.30714832,0.5
30404,0.019089093,0.0088752921,104.75259,1278818.2,0.55244866,0.5
30405,0.0098880329,0.0055945516,99.6763,823847.58,0.77616699,0.5
30406,0.01361575,0.0091994481,113.02236,1192050.3,0.58245576,0.5
30407,0.0057733289,0.012368662,20.680955,3859438.1,0.24252807,0.5
30408,0.0328108,0.0024266183,203.28101,699028.9,0.89108766,0.5
30409,0.013493929,0.001606007,99.135279,644282.88,0.95358505,0.5
30410,0.013188463,0.0051672475,135.6192,813232.62,0.78469575,0.5
30411,0.011434968,0.012227999,117.44121,1031752.1,0.6492296,0.5
30412,0.010964527,0.015435761,67.21047,2079299.0,0.38444621,0.5
30413,0.0076738455,0.013259063,143.87551,954477.16,0.69046359,0.5
30414,0.014049751,0.00027611815,17.746428,423592.93,1.196884,0.5
